text,label
Meeting rescheduled to 7:26 AM tomorrow.,ham
Happy birthday! Wishing you a great year ahead.,ham
"Hey, are we still on for dinner at 7?",ham
Thanks for your payment of INR 5154.,ham
Your Flipkart return request has been approved.,ham
Your Zomato order #893052 is out for delivery.,ham
Happy birthday! Wishing you a great year ahead.,ham
Your Jio plan has been activated. Valid till 22 May 2025.,ham
Work from home and earn INR 3999/week. Join today!,spam
Your Jio plan has been activated. Valid till 7 May 2025.,ham
"Hey, are we still on for dinner at 7?",ham
Exclusive offer! Get 72% off on all items. Hurry!,spam
Work from home and earn INR 4728/week. Join today!,spam
Your Jio plan has been activated. Valid till 27 May 2025.,ham
Your Flipkart return request has been approved.,ham
Work from home and earn INR 6918/week. Join today!,spam
Thanks for your payment of INR 4296.,ham
Exclusive offer! Get 71% off on all items. Hurry!,spam
You’ve been selected for a special gift. Click: http://bit.ly/6700,spam
Your OTP for Amazon is 601328. Do not share it.,ham
"Hey, are we still on for dinner at 7?",ham
Your Flipkart return request has been approved.,ham
Happy birthday! Wishing you a great year ahead.,ham
Your Flipkart return request has been approved.,ham
Your account is suspended. Verify at http://bit.ly/2668 immediately.,spam
Thanks for your payment of INR 2626.,ham
Thanks for your payment of INR 7612.,ham
Electricity bill of INR 325 is due on 7 May 2025.,ham
Thanks for your payment of INR 9574.,ham
Electricity bill of INR 5262 is due on 18 May 2025.,ham
Limited time deal on electronics. Shop now: http://bit.ly/4968,spam
Your Zomato order #338872 is out for delivery.,ham
Claim your reward now! Visit http://bit.ly/8079,spam
Meeting rescheduled to 3:20 AM tomorrow.,ham
Get a loan of up to INR 4815 instantly. No documents needed!,spam
You’ve been selected for a special gift. Click: http://bit.ly/6062,spam
Happy birthday! Wishing you a great year ahead.,ham
Your account has been credited with INR 2231. A/c no: XXXX3551.,ham
Your ATM card will be blocked. Update details now: http://bit.ly/5300,spam
Your ATM card will be blocked. Update details now: http://bit.ly/9602,spam
Work from home and earn INR 666/week. Join today!,spam
Congratulations! You've won a free iPhone. Click here: http://bit.ly/6553,spam
Electricity bill of INR 3679 is due on 16 May 2025.,ham
Happy birthday! Wishing you a great year ahead.,ham
Happy birthday! Wishing you a great year ahead.,ham
Free recharge worth INR 2028. Click to get it: http://bit.ly/6085,spam
Exclusive offer! Get 20% off on all items. Hurry!,spam
Your account has been credited with INR 149. A/c no: XXXX9855.,ham
Your Jio plan has been activated. Valid till 23 May 2025.,ham
You’ve been selected for a special gift. Click: http://bit.ly/1240,spam
Exclusive offer! Get 49% off on all items. Hurry!,spam
Your account has been credited with INR 5146. A/c no: XXXX8609.,ham
Your Jio plan has been activated. Valid till 10 May 2025.,ham
Your ATM card will be blocked. Update details now: http://bit.ly/7331,spam
Your Jio plan has been activated. Valid till 14 May 2025.,ham
Happy birthday! Wishing you a great year ahead.,ham
Work from home and earn INR 4264/week. Join today!,spam
Your ATM card will be blocked. Update details now: http://bit.ly/2880,spam
Exclusive offer! Get 51% off on all items. Hurry!,spam
Happy birthday! Wishing you a great year ahead.,ham
You’ve been selected for a special gift. Click: http://bit.ly/2834,spam
Your Flipkart return request has been approved.,ham
Congratulations! You've won a free iPhone. Click here: http://bit.ly/4502,spam
Work from home and earn INR 5908/week. Join today!,spam
Your account has been credited with INR 8528. A/c no: XXXX3996.,ham
Meeting rescheduled to 6:33 AM tomorrow.,ham
Happy birthday! Wishing you a great year ahead.,ham
Work from home and earn INR 4079/week. Join today!,spam
Your Jio plan has been activated. Valid till 23 May 2025.,ham
Your Jio plan has been activated. Valid till 1 May 2025.,ham
Your account has been credited with INR 4935. A/c no: XXXX7926.,ham
Get a loan of up to INR 8539 instantly. No documents needed!,spam
Limited time deal on electronics. Shop now: http://bit.ly/2823,spam
Thanks for your payment of INR 9419.,ham
Your account is suspended. Verify at http://bit.ly/8342 immediately.,spam
Get a loan of up to INR 1066 instantly. No documents needed!,spam
Your Jio plan has been activated. Valid till 10 May 2025.,ham
Your OTP for Amazon is 663027. Do not share it.,ham
Your ATM card will be blocked. Update details now: http://bit.ly/9615,spam
You’ve been selected for a special gift. Click: http://bit.ly/4841,spam
Your Jio plan has been activated. Valid till 18 May 2025.,ham
Your Zomato order #887018 is out for delivery.,ham
Exclusive offer! Get 73% off on all items. Hurry!,spam
Get a loan of up to INR 3872 instantly. No documents needed!,spam
Work from home and earn INR 8442/week. Join today!,spam
Exclusive offer! Get 15% off on all items. Hurry!,spam
"Hey, are we still on for dinner at 7?",ham
Exclusive offer! Get 15% off on all items. Hurry!,spam
Your Jio plan has been activated. Valid till 27 May 2025.,ham
Your Jio plan has been activated. Valid till 14 May 2025.,ham
Your ATM card will be blocked. Update details now: http://bit.ly/5171,spam
Your Jio plan has been activated. Valid till 7 May 2025.,ham
Your account has been credited with INR 872. A/c no: XXXX6296.,ham
Electricity bill of INR 4675 is due on 2 May 2025.,ham
Electricity bill of INR 2772 is due on 6 May 2025.,ham
Your Flipkart return request has been approved.,ham
Your ATM card will be blocked. Update details now: http://bit.ly/3675,spam
Your ATM card will be blocked. Update details now: http://bit.ly/1547,spam
Free recharge worth INR 8690. Click to get it: http://bit.ly/3154,spam
Work from home and earn INR 9034/week. Join today!,spam
Your Zomato order #382611 is out for delivery.,ham
Get a loan of up to INR 4381 instantly. No documents needed!,spam
Your OTP for Amazon is 471702. Do not share it.,ham
Limited time deal on electronics. Shop now: http://bit.ly/9443,spam
Happy birthday! Wishing you a great year ahead.,ham
Claim your reward now! Visit http://bit.ly/6199,spam
You’ve been selected for a special gift. Click: http://bit.ly/2080,spam
Your Flipkart return request has been approved.,ham
Thanks for your payment of INR 3817.,ham
Meeting rescheduled to 12:32 PM tomorrow.,ham
Your ATM card will be blocked. Update details now: http://bit.ly/3247,spam
Limited time deal on electronics. Shop now: http://bit.ly/1944,spam
Congratulations! You've won a free iPhone. Click here: http://bit.ly/2863,spam
Your Zomato order #464919 is out for delivery.,ham
"Hey, are we still on for dinner at 7?",ham
Meeting rescheduled to 7:08 AM tomorrow.,ham
Meeting rescheduled to 12:42 AM tomorrow.,ham
Meeting rescheduled to 1:28 PM tomorrow.,ham
You’ve been selected for a special gift. Click: http://bit.ly/8419,spam
Your account has been credited with INR 1543. A/c no: XXXX7209.,ham
Meeting rescheduled to 7:54 AM tomorrow.,ham
Thanks for your payment of INR 6307.,ham
Your OTP for Amazon is 362736. Do not share it.,ham
Limited time deal on electronics. Shop now: http://bit.ly/5249,spam
Your account has been credited with INR 2871. A/c no: XXXX4679.,ham
Thanks for your payment of INR 205.,ham
Your Flipkart return request has been approved.,ham
Your OTP for Amazon is 422426. Do not share it.,ham
Your OTP for Amazon is 356751. Do not share it.,ham
Free recharge worth INR 7225. Click to get it: http://bit.ly/5319,spam
Your account is suspended. Verify at http://bit.ly/8433 immediately.,spam
Your Flipkart return request has been approved.,ham
Work from home and earn INR 9962/week. Join today!,spam
Work from home and earn INR 5386/week. Join today!,spam
Your Flipkart return request has been approved.,ham
Your account has been credited with INR 1668. A/c no: XXXX6624.,ham
Your account is suspended. Verify at http://bit.ly/6143 immediately.,spam
Get a loan of up to INR 726 instantly. No documents needed!,spam
Meeting rescheduled to 7:25 PM tomorrow.,ham
Electricity bill of INR 4668 is due on 15 May 2025.,ham
Meeting rescheduled to 3:02 AM tomorrow.,ham
Meeting rescheduled to 10:37 PM tomorrow.,ham
Your Zomato order #554898 is out for delivery.,ham
Claim your reward now! Visit http://bit.ly/2159,spam
Limited time deal on electronics. Shop now: http://bit.ly/6407,spam
Your account has been credited with INR 3471. A/c no: XXXX4844.,ham
Your Jio plan has been activated. Valid till 7 May 2025.,ham
"Hey, are we still on for dinner at 7?",ham
Get a loan of up to INR 801 instantly. No documents needed!,spam
Your ATM card will be blocked. Update details now: http://bit.ly/1015,spam
Your Zomato order #425455 is out for delivery.,ham
You’ve been selected for a special gift. Click: http://bit.ly/4880,spam
Work from home and earn INR 219/week. Join today!,spam
Thanks for your payment of INR 1713.,ham
"Hey, are we still on for dinner at 7?",ham
Your Flipkart return request has been approved.,ham
Work from home and earn INR 3498/week. Join today!,spam
Get a loan of up to INR 3954 instantly. No documents needed!,spam
Free recharge worth INR 6303. Click to get it: http://bit.ly/3863,spam
Your ATM card will be blocked. Update details now: http://bit.ly/2244,spam
Congratulations! You've won a free iPhone. Click here: http://bit.ly/1978,spam
Claim your reward now! Visit http://bit.ly/5403,spam
Happy birthday! Wishing you a great year ahead.,ham
Happy birthday! Wishing you a great year ahead.,ham
Meeting rescheduled to 2:44 AM tomorrow.,ham
Your Flipkart return request has been approved.,ham
Your Flipkart return request has been approved.,ham
Thanks for your payment of INR 7817.,ham
Happy birthday! Wishing you a great year ahead.,ham
Your Flipkart return request has been approved.,ham
Happy birthday! Wishing you a great year ahead.,ham
Thanks for your payment of INR 1260.,ham
Your OTP for Amazon is 687693. Do not share it.,ham
"Hey, are we still on for dinner at 7?",ham
Limited time deal on electronics. Shop now: http://bit.ly/1478,spam
Congratulations! You've won a free iPhone. Click here: http://bit.ly/3301,spam
Your Zomato order #304756 is out for delivery.,ham
Your Zomato order #608754 is out for delivery.,ham
You’ve been selected for a special gift. Click: http://bit.ly/2881,spam
Your account has been credited with INR 6998. A/c no: XXXX6557.,ham
Your Jio plan has been activated. Valid till 21 May 2025.,ham
Meeting rescheduled to 4:38 AM tomorrow.,ham
Thanks for your payment of INR 8398.,ham
Your OTP for Amazon is 487425. Do not share it.,ham
Limited time deal on electronics. Shop now: http://bit.ly/6074,spam
Claim your reward now! Visit http://bit.ly/2155,spam
Meeting rescheduled to 8:14 AM tomorrow.,ham
Your Flipkart return request has been approved.,ham
Thanks for your payment of INR 3020.,ham
Your ATM card will be blocked. Update details now: http://bit.ly/4236,spam
Exclusive offer! Get 19% off on all items. Hurry!,spam
Thanks for your payment of INR 5447.,ham
Happy birthday! Wishing you a great year ahead.,ham
Your Zomato order #377701 is out for delivery.,ham
Your ATM card will be blocked. Update details now: http://bit.ly/9442,spam
Your ATM card will be blocked. Update details now: http://bit.ly/1026,spam
Work from home and earn INR 5492/week. Join today!,spam
Get a loan of up to INR 3487 instantly. No documents needed!,spam
Your Flipkart return request has been approved.,ham
Meeting rescheduled to 7:43 PM tomorrow.,ham
Your Flipkart return request has been approved.,ham
Happy birthday! Wishing you a great year ahead.,ham
Thanks for your payment of INR 3027.,ham
Limited time deal on electronics. Shop now: http://bit.ly/7445,spam
Meeting rescheduled to 11:36 AM tomorrow.,ham
"Hey, are we still on for dinner at 7?",ham
Work from home and earn INR 2780/week. Join today!,spam
Your Jio plan has been activated. Valid till 3 May 2025.,ham
Your Zomato order #856976 is out for delivery.,ham
Exclusive offer! Get 66% off on all items. Hurry!,spam
Limited time deal on electronics. Shop now: http://bit.ly/8306,spam
Your OTP for Amazon is 579836. Do not share it.,ham
Free recharge worth INR 3688. Click to get it: http://bit.ly/1998,spam
"Hey, are we still on for dinner at 7?",ham
Exclusive offer! Get 89% off on all items. Hurry!,spam
Your Jio plan has been activated. Valid till 27 May 2025.,ham
Electricity bill of INR 7961 is due on 1 May 2025.,ham
Work from home and earn INR 8790/week. Join today!,spam
Your Zomato order #235829 is out for delivery.,ham
Your Zomato order #608891 is out for delivery.,ham
"Hey, are we still on for dinner at 7?",ham
Happy birthday! Wishing you a great year ahead.,ham
Happy birthday! Wishing you a great year ahead.,ham
"Hey, are we still on for dinner at 7?",ham
Your OTP for Amazon is 868001. Do not share it.,ham
You’ve been selected for a special gift. Click: http://bit.ly/4490,spam
Your ATM card will be blocked. Update details now: http://bit.ly/2736,spam
Get a loan of up to INR 2223 instantly. No documents needed!,spam
You’ve been selected for a special gift. Click: http://bit.ly/6181,spam
Your Jio plan has been activated. Valid till 8 May 2025.,ham
Limited time deal on electronics. Shop now: http://bit.ly/6859,spam
Get a loan of up to INR 1766 instantly. No documents needed!,spam
Your Flipkart return request has been approved.,ham
Your account has been credited with INR 998. A/c no: XXXX7160.,ham
Your account has been credited with INR 7143. A/c no: XXXX1860.,ham
Congratulations! You've won a free iPhone. Click here: http://bit.ly/7885,spam
Work from home and earn INR 4527/week. Join today!,spam
Your OTP for Amazon is 980636. Do not share it.,ham
Thanks for your payment of INR 7075.,ham
Your ATM card will be blocked. Update details now: http://bit.ly/3620,spam
Get a loan of up to INR 8211 instantly. No documents needed!,spam
Get a loan of up to INR 584 instantly. No documents needed!,spam
Claim your reward now! Visit http://bit.ly/6169,spam
You’ve been selected for a special gift. Click: http://bit.ly/4498,spam
You’ve been selected for a special gift. Click: http://bit.ly/8972,spam
Electricity bill of INR 9447 is due on 22 May 2025.,ham
"Hey, are we still on for dinner at 7?",ham
Your ATM card will be blocked. Update details now: http://bit.ly/7392,spam
Exclusive offer! Get 69% off on all items. Hurry!,spam
Congratulations! You've won a free iPhone. Click here: http://bit.ly/6049,spam
Happy birthday! Wishing you a great year ahead.,ham
Limited time deal on electronics. Shop now: http://bit.ly/6152,spam
Free recharge worth INR 147. Click to get it: http://bit.ly/5122,spam
You’ve been selected for a special gift. Click: http://bit.ly/5005,spam
Your account is suspended. Verify at http://bit.ly/9700 immediately.,spam
Your Flipkart return request has been approved.,ham
Limited time deal on electronics. Shop now: http://bit.ly/3098,spam
Limited time deal on electronics. Shop now: http://bit.ly/2120,spam
Free recharge worth INR 3930. Click to get it: http://bit.ly/8342,spam
Meeting rescheduled to 6:44 AM tomorrow.,ham
Meeting rescheduled to 5:13 AM tomorrow.,ham
Your ATM card will be blocked. Update details now: http://bit.ly/4121,spam
Electricity bill of INR 2851 is due on 20 May 2025.,ham
Meeting rescheduled to 10:16 PM tomorrow.,ham
You’ve been selected for a special gift. Click: http://bit.ly/3304,spam
Your Jio plan has been activated. Valid till 2 May 2025.,ham
Meeting rescheduled to 9:52 AM tomorrow.,ham
Your OTP for Amazon is 479896. Do not share it.,ham
Free recharge worth INR 9667. Click to get it: http://bit.ly/1696,spam
Your OTP for Amazon is 643540. Do not share it.,ham
Your Zomato order #756253 is out for delivery.,ham
Your OTP for Amazon is 788309. Do not share it.,ham
Your account has been credited with INR 3725. A/c no: XXXX4164.,ham
"Hey, are we still on for dinner at 7?",ham
Get a loan of up to INR 2340 instantly. No documents needed!,spam
"Hey, are we still on for dinner at 7?",ham
Electricity bill of INR 847 is due on 9 May 2025.,ham
Claim your reward now! Visit http://bit.ly/7712,spam
Your OTP for Amazon is 283170. Do not share it.,ham
Meeting rescheduled to 10:08 PM tomorrow.,ham
"Hey, are we still on for dinner at 7?",ham
Your Flipkart return request has been approved.,ham
Your account has been credited with INR 5452. A/c no: XXXX7023.,ham
Limited time deal on electronics. Shop now: http://bit.ly/8281,spam
Your OTP for Amazon is 200805. Do not share it.,ham
Your Flipkart return request has been approved.,ham
Your account is suspended. Verify at http://bit.ly/6269 immediately.,spam
Your ATM card will be blocked. Update details now: http://bit.ly/2375,spam
You’ve been selected for a special gift. Click: http://bit.ly/6322,spam
Free recharge worth INR 1465. Click to get it: http://bit.ly/7009,spam
Happy birthday! Wishing you a great year ahead.,ham
Work from home and earn INR 789/week. Join today!,spam
Electricity bill of INR 9880 is due on 28 May 2025.,ham
Your Flipkart return request has been approved.,ham
Your account is suspended. Verify at http://bit.ly/7865 immediately.,spam
Your OTP for Amazon is 851338. Do not share it.,ham
Free recharge worth INR 1027. Click to get it: http://bit.ly/2710,spam
Your Flipkart return request has been approved.,ham
Meeting rescheduled to 9:26 PM tomorrow.,ham
Your account is suspended. Verify at http://bit.ly/3224 immediately.,spam
Your Jio plan has been activated. Valid till 19 May 2025.,ham
Thanks for your payment of INR 4839.,ham
Your Jio plan has been activated. Valid till 18 May 2025.,ham
Your ATM card will be blocked. Update details now: http://bit.ly/6697,spam
Your Jio plan has been activated. Valid till 24 May 2025.,ham
Your Flipkart return request has been approved.,ham
Thanks for your payment of INR 9853.,ham
Your ATM card will be blocked. Update details now: http://bit.ly/7491,spam
Electricity bill of INR 3075 is due on 13 May 2025.,ham
You’ve been selected for a special gift. Click: http://bit.ly/7382,spam
Your Jio plan has been activated. Valid till 10 May 2025.,ham
Your Jio plan has been activated. Valid till 5 May 2025.,ham
Meeting rescheduled to 5:10 PM tomorrow.,ham
Your account is suspended. Verify at http://bit.ly/2455 immediately.,spam
Your Zomato order #476978 is out for delivery.,ham
Work from home and earn INR 8591/week. Join today!,spam
"Hey, are we still on for dinner at 7?",ham
Happy birthday! Wishing you a great year ahead.,ham
Electricity bill of INR 7954 is due on 21 May 2025.,ham
Thanks for your payment of INR 4604.,ham
Your ATM card will be blocked. Update details now: http://bit.ly/4260,spam
Work from home and earn INR 8501/week. Join today!,spam
Your Zomato order #926393 is out for delivery.,ham
Your OTP for Amazon is 794661. Do not share it.,ham
Your ATM card will be blocked. Update details now: http://bit.ly/3985,spam
Your Zomato order #865266 is out for delivery.,ham
Happy birthday! Wishing you a great year ahead.,ham
Work from home and earn INR 8606/week. Join today!,spam
Electricity bill of INR 2676 is due on 4 May 2025.,ham
Your Zomato order #845978 is out for delivery.,ham
Happy birthday! Wishing you a great year ahead.,ham
Your Flipkart return request has been approved.,ham
Free recharge worth INR 286. Click to get it: http://bit.ly/4486,spam
Limited time deal on electronics. Shop now: http://bit.ly/5088,spam
Your OTP for Amazon is 292353. Do not share it.,ham
Your Flipkart return request has been approved.,ham
Claim your reward now! Visit http://bit.ly/5510,spam
Your ATM card will be blocked. Update details now: http://bit.ly/4750,spam
Your OTP for Amazon is 569096. Do not share it.,ham
Your account is suspended. Verify at http://bit.ly/8253 immediately.,spam
Your account has been credited with INR 3972. A/c no: XXXX7266.,ham
Thanks for your payment of INR 5541.,ham
"Hey, are we still on for dinner at 7?",ham
Get a loan of up to INR 7453 instantly. No documents needed!,spam
Happy birthday! Wishing you a great year ahead.,ham
Your OTP for Amazon is 617731. Do not share it.,ham
Your account has been credited with INR 4485. A/c no: XXXX6514.,ham
Your Zomato order #398183 is out for delivery.,ham
Work from home and earn INR 5219/week. Join today!,spam
Claim your reward now! Visit http://bit.ly/4779,spam
Thanks for your payment of INR 2397.,ham
Happy birthday! Wishing you a great year ahead.,ham
Electricity bill of INR 1888 is due on 4 May 2025.,ham
"Hey, are we still on for dinner at 7?",ham
Work from home and earn INR 3093/week. Join today!,spam
Electricity bill of INR 1631 is due on 19 May 2025.,ham
Free recharge worth INR 3375. Click to get it: http://bit.ly/7168,spam
Exclusive offer! Get 51% off on all items. Hurry!,spam
Free recharge worth INR 5441. Click to get it: http://bit.ly/7801,spam
Electricity bill of INR 1599 is due on 14 May 2025.,ham
You’ve been selected for a special gift. Click: http://bit.ly/4970,spam
You’ve been selected for a special gift. Click: http://bit.ly/3626,spam
Congratulations! You've won a free iPhone. Click here: http://bit.ly/9383,spam
Get a loan of up to INR 954 instantly. No documents needed!,spam
Thanks for your payment of INR 1542.,ham
Meeting rescheduled to 3:20 PM tomorrow.,ham
Your account has been credited with INR 2598. A/c no: XXXX9822.,ham
Your account has been credited with INR 1181. A/c no: XXXX7051.,ham
Free recharge worth INR 7358. Click to get it: http://bit.ly/8190,spam
Meeting rescheduled to 3:58 AM tomorrow.,ham
Meeting rescheduled to 11:28 PM tomorrow.,ham
Your Flipkart return request has been approved.,ham
Limited time deal on electronics. Shop now: http://bit.ly/4128,spam
Claim your reward now! Visit http://bit.ly/8921,spam
Your Zomato order #455737 is out for delivery.,ham
Exclusive offer! Get 39% off on all items. Hurry!,spam
Congratulations! You've won a free iPhone. Click here: http://bit.ly/1851,spam
Happy birthday! Wishing you a great year ahead.,ham
Your ATM card will be blocked. Update details now: http://bit.ly/6400,spam
Your account has been credited with INR 7686. A/c no: XXXX1498.,ham
Thanks for your payment of INR 8924.,ham
You’ve been selected for a special gift. Click: http://bit.ly/7212,spam
Your Jio plan has been activated. Valid till 1 May 2025.,ham
Your account is suspended. Verify at http://bit.ly/2033 immediately.,spam
Your account is suspended. Verify at http://bit.ly/8367 immediately.,spam
Your OTP for Amazon is 730656. Do not share it.,ham
"Hey, are we still on for dinner at 7?",ham
Electricity bill of INR 4419 is due on 9 May 2025.,ham
Your ATM card will be blocked. Update details now: http://bit.ly/7625,spam
Thanks for your payment of INR 202.,ham
Your Zomato order #349851 is out for delivery.,ham
Thanks for your payment of INR 9014.,ham
Meeting rescheduled to 5:22 AM tomorrow.,ham
Your account has been credited with INR 9468. A/c no: XXXX8810.,ham
Your account has been credited with INR 7234. A/c no: XXXX6435.,ham
Your account has been credited with INR 5129. A/c no: XXXX7937.,ham
You’ve been selected for a special gift. Click: http://bit.ly/3678,spam
Your Flipkart return request has been approved.,ham
Your Flipkart return request has been approved.,ham
Your Flipkart return request has been approved.,ham
Meeting rescheduled to 1:49 AM tomorrow.,ham
Thanks for your payment of INR 7351.,ham
Work from home and earn INR 9611/week. Join today!,spam
Your account has been credited with INR 9639. A/c no: XXXX7341.,ham
Your OTP for Amazon is 286131. Do not share it.,ham
Claim your reward now! Visit http://bit.ly/4552,spam
You’ve been selected for a special gift. Click: http://bit.ly/4660,spam
Happy birthday! Wishing you a great year ahead.,ham
Your account has been credited with INR 9914. A/c no: XXXX7160.,ham
Claim your reward now! Visit http://bit.ly/5498,spam
Your Zomato order #886901 is out for delivery.,ham
"Hey, are we still on for dinner at 7?",ham
Your Zomato order #130675 is out for delivery.,ham
Limited time deal on electronics. Shop now: http://bit.ly/4481,spam
Your account has been credited with INR 267. A/c no: XXXX4005.,ham
Congratulations! You've won a free iPhone. Click here: http://bit.ly/5453,spam
Work from home and earn INR 3771/week. Join today!,spam
Electricity bill of INR 2298 is due on 26 May 2025.,ham
Electricity bill of INR 3035 is due on 18 May 2025.,ham
Happy birthday! Wishing you a great year ahead.,ham
Free recharge worth INR 6215. Click to get it: http://bit.ly/8586,spam
Your account is suspended. Verify at http://bit.ly/2143 immediately.,spam
Your Zomato order #591373 is out for delivery.,ham
Limited time deal on electronics. Shop now: http://bit.ly/4407,spam
Happy birthday! Wishing you a great year ahead.,ham
Electricity bill of INR 380 is due on 27 May 2025.,ham
Your account has been credited with INR 6355. A/c no: XXXX3702.,ham
Your Jio plan has been activated. Valid till 12 May 2025.,ham
Your Flipkart return request has been approved.,ham
Your Jio plan has been activated. Valid till 26 May 2025.,ham
Free recharge worth INR 9504. Click to get it: http://bit.ly/7043,spam
Your Flipkart return request has been approved.,ham
Electricity bill of INR 252 is due on 18 May 2025.,ham
Your OTP for Amazon is 547376. Do not share it.,ham
Get a loan of up to INR 7637 instantly. No documents needed!,spam
Happy birthday! Wishing you a great year ahead.,ham
Meeting rescheduled to 11:06 PM tomorrow.,ham
Congratulations! You've won a free iPhone. Click here: http://bit.ly/4332,spam
Get a loan of up to INR 8684 instantly. No documents needed!,spam
Electricity bill of INR 1247 is due on 7 May 2025.,ham
Your Jio plan has been activated. Valid till 16 May 2025.,ham
Electricity bill of INR 4585 is due on 7 May 2025.,ham
Your OTP for Amazon is 753929. Do not share it.,ham
